3000
EL_1| 12 74.8
EL_1169| 38 54.4
EL_1170| 21 79.5
EL_1171| 80 18.4
EL_1172| 4 67.1
EL_1173| 15 43.6
EL_1174| 78 90.3
EL_1175| 62 26.9
EL_1176| 26 39.8
EL_1177| 86 48.5
EL_1178| 31 36.9
EL_1179| 20 44
EL_1180| 68 18.5
EL_1181| 69 34
EL_1182| 2 80.4
EL_1183| 10 20.7
EL_1184| 92 63.6
EL_1185| 23 79.4
EL_1186| 22 38.5
EL_1187| 32 22.6
EL_1188| 35 62.2
EL_1189| 36 63.7
EL_1190| 86 10.6
EL_1191| 31 10.7
EL_1192| 60 86.7
EL_1193| 94 79.9
EL_1194| 16 3.7
EL_1195| 28 1.6
EL_1196| 11 36.7
EL_1197| 39 24.3
EL_1198| 4 81
EL_1199| 33 52
EL_1200| 96 43.3
EL_1201| 9 77.8
EL_1202| 31 1.7
EL_1203| 12 20.7
EL_1204| 27 12.2
EL_1205| 21 7.8
EL_1206| 35 75.4
EL_1207| 85 85.5
EL_1208| 19 86.6
EL_1209| 36 78.8
EL_1210| 16 14.8
EL_1211| 99 11.6
EL_1212| 0 23.6
EL_1213| 34 68.3
EL_1214| 85 70.1
EL_1215| 29 9.2
EL_1216| 96 43.9
EL_1217| 37 7.2
EL_1218| 97 98.3
EL_1219| 66 13.7
EL_1220| 86 64.4
EL_1221| 19 82.6
EL_1222| 88 16.8
EL_1223| 28 17
EL_1224| 96 30.4
EL_1225| 80 68.9
EL_1226| 98 82.6
EL_1227| 78 67.5
EL_1228| 66 44.5
EL_1229| 63 35.3
EL_1230| 65 26
EL_1231| 100 47.9
EL_1232| 65 1.7
EL_1233| 81 92
EL_1234| 70 45.1
EL_1235| 28 75.7
EL_1236| 34 75.1
EL_1237| 8 40.9
EL_1238| 27 66.8
EL_1239| 21 82.3
EL_1240| 36 34.9
EL_1241| 92 61.9
EL_1242| 80 96.6
EL_1243| 91 72.8
EL_1244| 75 16
EL_1245| 17 3.4
EL_1246| 64 60.5
EL_1247| 31 34.4
EL_1248| 60 68.1
EL_1249| 95 94.7
EL_1250| 68 1.9
EL_1251| 100 6.8
EL_1252| 72 93.6
EL_1253| 10 3.2
EL_1254| 73 96.9
EL_1255| 22 56.9
EL_1256| 67 50.2
EL_1257| 77 57.6
EL_1258| 20 30.2
EL_1259| 17 79.2
EL_1260| 14 4.8
EL_1261| 14 41.7
EL_1262| 90 70.1
EL_1263| 78 23
EL_1264| 68 94.6
EL_1265| 25 5.4
EL_1266| 61 45.9
EL_1267| 95 41.8
EL_1268| 30 81.1
EL_1269| 11 86.5
EL_1270| 23 96.9
EL_1271| 74 32.8
EL_1272| 83 50.9
EL_1273| 20 74.6
EL_1274| 11 61.7
EL_1275| 80 15.9
EL_1276| 35 53.9
EL_1277| 63 48
EL_1278| 28 30
EL_1279| 76 59.5
EL_1280| 83 53.5
EL_1281| 13 46.4
EL_1282| 87 55.5
EL_1283| 76 24.5
EL_1284| 33 13.5
EL_1285| 90 85.8
EL_1286| 37 18
EL_1287| 78 19.2
EL_1288| 65 93.4
EL_1289| 39 33.3
EL_1290| 40 52.7
EL_1291| 9 3
EL_1292| 78 3.2
EL_1293| 11 64.6
EL_1294| 0 47.2
EL_1295| 66 5.5
EL_1296| 2 48.9
EL_1297| 21 62.7
EL_1298| 64 94.5
EL_1299| 3 5.3
EL_1300| 74 50.9
EL_1301| 19 66.3
EL_1302| 62 69.5
EL_1303| 34 58.1
EL_1304| 89 88.3
EL_1305| 71 79.6
EL_1306| 37 51.1
EL_1307| 8 28
EL_1308| 4 84.9
EL_1309| 80 81.5
EL_1310| 34 57.4
EL_1311| 15 93.7
EL_1312| 15 5.9
EL_1313| 20 17.2
EL_1314| 81 92.7
EL_1315| 100 6
EL_1316| 14 71.7
EL_1317| 20 99.4
EL_1318| 33 68.9
EL_1319| 82 9.4
EL_1320| 20 16.4
EL_1321| 16 2.7
EL_1322| 97 92.6
EL_1323| 36 11.7
EL_1324| 9 37.7
EL_1325| 15 34.8
EL_1326| 71 28.5
EL_1327| 69 51
EL_1328| 4 25
EL_1329| 100 47
EL_1330| 28 41
EL_1331| 73 80.4
EL_1332| 72 93
EL_1333| 8 81.4
EL_1334| 91 36.9
EL_1335| 22 26.6
EL_1336| 86 15.2
EL_1337| 86 66
EL_1338| 16 29.7
EL_1339| 29 69.8
EL_1340| 15 98.7
EL_1341| 70 42.6
EL_1342| 9 95.6
EL_1343| 27 59
EL_1344| 13 3.3
EL_1345| 65 10.8
EL_1346| 80 9.6
EL_1347| 26 7.7
EL_1348| 67 25
EL_1349| 29 57.2
EL_1350| 6 78.8
EL_1351| 21 32.8
EL_1352| 39 9.3
EL_1353| 81 82
EL_1354| 69 11.4
EL_1355| 80 47.2
EL_1356| 24 3.5
EL_1357| 68 5
EL_1358| 26 13.5
EL_1359| 5 25.4
EL_1360| 19 46.6
EL_1361| 6 36.3
EL_1362| 81 18.9
EL_1363| 0 46
EL_1364| 12 73.6
EL_1365| 87 63.9
EL_1366| 18 14.6
EL_1367| 88 20.7
EL_1368| 96 11.1
EL_1369| 84 67
EL_1370| 35 56.2
EL_1371| 61 33.6
EL_1372| 83 52.7
EL_1373| 69 30.8
EL_1374| 40 57.2
EL_1375| 71 90
EL_1376| 93 30.9
EL_1377| 95 74.8
EL_1378| 68 67.1
EL_1379| 65 31
EL_1380| 92 76.4
EL_1381| 9 10.6
EL_1382| 5 90.4
EL_1383| 60 14.8
EL_1384| 2 11.9
EL_1385| 74 87.5
EL_1386| 36 85.9
EL_1387| 26 17.6
EL_1388| 68 17.3
EL_1389| 8 96.3
EL_1390| 77 16.5
EL_1391| 12 49.1
EL_1392| 87 66.7
EL_1393| 9 99.7
EL_1394| 74 10.7
EL_1395| 25 20.5
EL_1396| 1 80.8
EL_1397| 3 61.6
EL_1398| 72 69.5
EL_1399| 96 77.5
EL_1400| 93 72.6
EL_1401| 67 78.8
EL_1402| 65 49
EL_1403| 34 21.2
EL_1404| 9 61.6
EL_1405| 71 98.6
EL_1406| 82 28.1
EL_1407| 96 15.1
EL_1408| 15 90.4
EL_1409| 39 27.5
EL_1410| 71 52.7
EL_1411| 68 52.9
EL_1412| 71 24.1
EL_1413| 20 51.9
EL_1414| 0 16.7
EL_1415| 72 40.3
EL_1416| 65 43.8
EL_1417| 84 55.4
EL_1418| 78 28.3
EL_1419| 65 9.2
EL_1420| 80 82.6
EL_1421| 24 58.8
EL_1422| 74 30.8
EL_1423| 71 93.1
EL_1424| 37 10.4
EL_1425| 24 32.7
EL_1426| 9 37.1
EL_1427| 6 3.2
EL_1428| 78 11.7
EL_1429| 22 63
EL_1430| 76 68
EL_1431| 33 11.2
EL_1432| 26 40.5
EL_1433| 91 82
EL_1434| 74 57.1
EL_1435| 2 63.7
EL_1436| 70 52
EL_1437| 91 70.8
EL_1438| 66 97.4
EL_1439| 67 0.5
EL_1440| 89 46.5
EL_1441| 32 88.5
EL_1442| 30 14.1
EL_1443| 97 25.3
EL_1444| 72 89.4
EL_1445| 81 7.8
EL_1446| 22 39.3
EL_1447| 24 39.4
EL_1448| 30 23.6
EL_1449| 0 64.6
EL_1450| 90 6.9
EL_1451| 85 10.9
EL_1452| 69 22.5
EL_1453| 22 31.6
EL_1454| 10 63.9
EL_1455| 64 29.4
EL_1456| 65 6.7
EL_1457| 65 75.1
EL_1458| 31 81.7
EL_1459| 29 97
EL_1460| 77 93
EL_1461| 83 50
EL_1462| 29 14.8
EL_1463| 10 14.2
EL_1464| 5 25.4
EL_1465| 22 57.2
EL_1466| 89 11.8
EL_1467| 13 88.4
EL_1468| 17 54.2
EL_1469| 94 75
EL_1470| 80 58.4
EL_1471| 39 1.6
EL_1472| 7 31.9
EL_1473| 99 96.1
EL_1474| 14 59.6
EL_1475| 72 71.5
EL_1476| 0 8.4
EL_1477| 16 68.4
EL_1478| 60 16.5
EL_1479| 14 44.3
EL_1480| 31 78.4
EL_1481| 76 84.4
EL_1482| 39 29.7
EL_1483| 15 22.5
EL_1484| 17 69.8
EL_1485| 31 20.8
EL_1486| 20 7.7
EL_1487| 98 39.7
EL_1488| 19 51.4
EL_1489| 0 69.9
EL_1490| 78 48.8
EL_1491| 23 85.1
EL_1492| 92 13.8
EL_1493| 1 20.4
EL_1494| 63 26.5
EL_1495| 72 23.8
EL_1496| 73 38.3
EL_1497| 29 72
EL_1498| 63 95.3
EL_1499| 37 6.3
EL_1500| 40 59.6
EL_1501| 34 48.7
EL_1502| 63 9.3
EL_1503| 30 0.7
EL_1504| 95 84.7
EL_1505| 74 7.3
EL_1506| 82 26
EL_1507| 15 89.6
EL_1508| 38 2.7
EL_1509| 98 85.2
EL_1510| 73 58.7
EL_1511| 80 29.2
EL_1512| 13 23.7
EL_1513| 22 26.7
EL_1514| 23 32.6
EL_1515| 13 13.2
EL_1516| 94 17.9
EL_1517| 9 79
EL_1518| 22 26.6
EL_1519| 20 2.9
EL_1520| 68 35.4
EL_1521| 21 2.4
EL_1522| 72 14.5
EL_1523| 18 68.8
EL_1524| 3 35.7
EL_1525| 3 76.6
EL_1526| 33 1.5
EL_1527| 96 11.5
EL_1528| 85 28.5
EL_1529| 88 81.2
EL_1530| 24 91.7
EL_1531| 13 66.5
EL_1532| 12 28.3
EL_1533| 94 52.3
EL_1534| 12 75.5
EL_1535| 11 8.5
EL_1536| 30 66.4
EL_1537| 4 6.4
EL_1538| 98 91.3
EL_1539| 96 15.5
EL_1540| 90 78.7
EL_1541| 30 82.2
EL_1542| 12 56.9
EL_1543| 7 78.1
EL_1544| 85 51.1
EL_1545| 32 11
EL_1546| 76 89.2
EL_1547| 37 42.8
EL_1548| 23 98.6
EL_1549| 82 69.9
EL_1550| 73 47.8
EL_1551| 61 16.1
EL_1552| 86 8
EL_1553| 2 79
EL_1554| 84 96.7
EL_1555| 25 16.6
EL_1556| 16 15.7
EL_1557| 6 75.5
EL_1558| 71 92.6
EL_1559| 30 28
EL_1560| 34 47.7
EL_1561| 0 81.4
EL_1562| 93 34.2
EL_1563| 26 69
EL_1564| 0 90.5
EL_1565| 23 55.4
EL_1566| 8 55.9
EL_1567| 98 28.1
EL_1568| 12 11.3
EL_1569| 24 62.5
EL_1570| 99 45.1
EL_1571| 79 50.5
EL_1572| 29 84.2
EL_1573| 68 7
EL_1574| 87 12.5
EL_1575| 67 96.5
EL_1576| 96 37.6
EL_1577| 8 70.3
EL_1578| 23 24.6
EL_1579| 85 73.5
EL_1580| 94 68.3
EL_1581| 24 14.2
EL_1582| 9 41.1
EL_1583| 80 33.4
EL_1584| 6 74.3
EL_1585| 7 26.1
EL_1586| 73 88
EL_1587| 89 12.5
EL_1588| 28 3.9
EL_1589| 96 71.7
EL_1590| 63 83.8
EL_1591| 13 55
EL_1592| 90 89.8
EL_1593| 82 89.2
EL_1594| 78 38.7
EL_1595| 0 56.5
EL_1596| 3 89.6
EL_1597| 95 74.3
EL_1598| 40 57.7
EL_1599| 5 17.2
EL_1600| 76 38.1
EL_1601| 28 23.8
EL_1602| 40 44
EL_1603| 15 87.9
EL_1604| 37 67.2
EL_1605| 27 55.5
EL_1606| 35 23.1
EL_1607| 26 42.1
EL_1608| 17 87.4
EL_1609| 31 58.5
EL_1610| 12 63.9
EL_1611| 66 15.4
EL_1612| 79 64.7
EL_1613| 72 57.8
EL_1614| 60 35.1
EL_1615| 2 30.9
EL_1616| 67 47.4
EL_1617| 89 79.6
EL_1618| 73 59.5
EL_1619| 1 32.4
EL_1620| 92 85.9
EL_1621| 22 96.9
EL_1622| 95 40.3
EL_1623| 81 11.7
EL_1624| 95 85
EL_1625| 85 11.5
EL_1626| 5 22.7
EL_1627| 0 22.1
EL_1628| 60 84
EL_1629| 68 80
EL_1630| 97 51.1
EL_1631| 19 17.1
EL_1632| 24 3
EL_1633| 64 43.9
EL_1634| 61 44.4
EL_1635| 3 10.3
EL_1636| 8 77.8
EL_1637| 39 93.3
EL_1638| 23 45.5
EL_1639| 76 99.4
EL_1640| 1 35.3
EL_1641| 8 55.2
EL_1642| 91 36.9
EL_1643| 92 7.5
EL_1644| 8 7
EL_1645| 83 55.6
EL_1646| 78 18.8
EL_1647| 5 39.3
EL_1648| 93 97
EL_1649| 22 50.2
EL_1650| 62 66.4
EL_1651| 93 66.2
EL_1652| 35 89.3
EL_1653| 92 27.2
EL_1654| 65 45.6
EL_1655| 35 46.4
EL_1656| 21 15.7
EL_1657| 37 86.9
EL_1658| 17 87.7
EL_1659| 92 41.6
EL_1660| 61 73.8
EL_1661| 17 93
EL_1662| 79 1
EL_1663| 61 34.1
EL_1664| 80 7.3
EL_1665| 28 47.9
EL_1666| 14 2.7
EL_1667| 15 92.1
EL_1668| 33 92.7
EL_1669| 85 95.7
EL_1670| 73 57.2
EL_1671| 95 40.6
EL_1672| 62 6.1
EL_1673| 75 62.4
EL_1674| 99 17.6
EL_1675| 62 65.2
EL_1676| 83 52
EL_1677| 12 82.8
EL_1678| 71 46.7
EL_1679| 76 15.4
EL_1680| 79 15.8
EL_1681| 36 3.4
EL_1682| 0 30.3
EL_1683| 9 23.5
EL_1684| 22 22.6
EL_1685| 12 87.6
EL_1686| 69 24.7
EL_1687| 28 34.6
EL_1688| 10 52.1
EL_1689| 30 12.4
EL_1690| 29 9.1
EL_1691| 71 56.9
EL_1692| 20 12.9
EL_1693| 90 78.2
EL_1694| 82 1.1
EL_1695| 96 21.8
EL_1696| 8 33.4
EL_1697| 63 95
EL_1698| 4 69.7
EL_1699| 39 56.7
EL_1700| 89 32.8
EL_1701| 36 72.5
EL_1702| 29 36.2
EL_1703| 36 29
EL_1704| 35 92.7
EL_1705| 22 29.9
EL_1706| 30 90.2
EL_1707| 36 19.4
EL_1708| 89 64.9
EL_1709| 89 93.1
EL_1710| 72 25.6
EL_1711| 78 6.2
EL_1712| 10 93.3
EL_1713| 16 8.9
EL_1714| 1 41.7
EL_1715| 83 1.8
EL_1716| 3 58.7
EL_1717| 11 63.7
EL_1718| 11 41.2
EL_1719| 28 46.6
EL_1720| 12 18.8
EL_1721| 37 22.4
EL_1722| 18 67.7
EL_1723| 17 43.9
EL_1724| 69 2.6
EL_1725| 86 75.5
EL_1726| 13 33.6
EL_1727| 29 8
EL_1728| 37 78.4
EL_1729| 86 58.8
EL_1730| 97 24.5
EL_1731| 85 49.6
EL_1732| 90 74.2
EL_1733| 96 8.8
EL_1734| 88 73.4
EL_1735| 60 56
EL_1736| 67 26.5
EL_1737| 19 74.8
EL_1738| 11 24.1
EL_1739| 87 67.2
EL_1740| 74 41.3
EL_1741| 89 10.5
EL_1742| 71 87.3
EL_1743| 60 89.3
EL_1744| 83 17.8
EL_1745| 67 11
EL_1746| 40 53
EL_1747| 64 1.9
EL_1748| 90 51.8
EL_1749| 70 90.6
EL_1750| 98 47.8
EL_1751| 72 18.1
EL_1752| 91 81.7
EL_1753| 18 39.5
EL_1754| 29 16.3
EL_1755| 0 87.1
EL_1756| 1 98.1
EL_1757| 30 29.1
EL_1758| 60 6.1
EL_1759| 100 37.3
EL_1760| 13 61.1
EL_1761| 39 97.4
EL_1762| 80 43.1
EL_1763| 76 34.2
EL_1764| 30 29.5
EL_1765| 1 70
EL_1766| 87 16.3
EL_1767| 1 39.1
EL_1768| 40 98.5
EL_1769| 33 9.9
EL_1770| 20 11.1
EL_1771| 74 9.9
EL_1772| 64 71.7
EL_1773| 36 66.9
EL_1774| 69 3.2
EL_1775| 81 29.8
EL_1776| 75 52.4
EL_1777| 77 92.5
EL_1778| 28 89.9
EL_1779| 80 33.8
EL_1780| 18 62.1
EL_1781| 36 61.8
EL_1782| 97 99
EL_1783| 39 83
EL_1784| 64 20.8
EL_1785| 36 45.5
EL_1786| 3 24.7
EL_1787| 17 92.3
EL_1788| 95 27
EL_1789| 88 31.8
EL_1790| 75 47.3
EL_1791| 68 34.3
EL_1792| 32 78.7
EL_1793| 0 30
EL_1794| 12 71.9
EL_1795| 10 65.3
EL_1796| 16 70.7
EL_1797| 60 42.3
EL_1798| 16 8.7
EL_1799| 22 85.3
EL_1800| 83 67.6
EL_1801| 81 57
EL_1802| 26 42.8
EL_1803| 36 45.5
EL_1804| 89 92.4
EL_1805| 62 42.5
EL_1806| 80 54.9
EL_1807| 25 91
EL_1808| 93 58.6
EL_1809| 66 76.4
EL_1810| 36 95.4
EL_1811| 2 31.9
EL_1812| 9 71.8
EL_1813| 8 84.1
EL_1814| 70 66.9
EL_1815| 62 0.6
EL_1816| 90 39.2
EL_1817| 33 32.7
EL_1818| 19 9.2
EL_1819| 18 31.5
EL_1820| 36 51.6
EL_1821| 33 71.3
EL_1822| 24 3.9
EL_1823| 13 28.2
EL_1824| 4 51.6
EL_1825| 60 69
EL_1826| 67 37.3
EL_1827| 9 32.1
EL_1828| 90 3.8
EL_1829| 96 34.4
EL_1830| 89 60.7
EL_1831| 85 22.2
EL_1832| 17 92.8
EL_1833| 93 5.2
EL_1834| 98 77.1
EL_1835| 13 22.4
EL_1836| 37 75.3
EL_1837| 10 69
EL_1838| 61 31.7
EL_1839| 12 47
EL_1840| 10 61.2
EL_1841| 13 92.6
EL_1842| 6 90.4
EL_1843| 1 2.5
EL_1844| 87 5.6
EL_1845| 67 50
EL_1846| 19 21
EL_1847| 34 67.9
EL_1848| 23 91.4
EL_1849| 36 7.1
EL_1850| 60 24.9
EL_1851| 67 12.2
EL_1852| 78 68.1
EL_1853| 20 1.5
EL_1854| 11 49
EL_1855| 40 43.1
EL_1856| 17 31
EL_1857| 71 49.1
EL_1858| 97 75.9
EL_1859| 78 54.4
EL_1860| 24 49.2
EL_1861| 26 31.6
EL_1862| 80 97.5
EL_1863| 77 68.2
EL_1864| 0 97.9
EL_1865| 16 64.2
EL_1866| 90 25.5
EL_1867| 32 90.4
EL_1868| 72 73.4
EL_1869| 40 22.3
EL_1870| 75 64.5
EL_1871| 4 82.9
EL_1872| 25 30.1
EL_1873| 97 94.9
EL_1874| 95 14.4
EL_1875| 74 97.9
EL_1876| 96 18
EL_1877| 17 98.2
EL_1878| 76 75.7
EL_1879| 17 32.3
EL_1880| 91 68.9
EL_1881| 66 61.6
EL_1882| 89 8.2
EL_1883| 1 6.3
EL_1884| 61 55.9
EL_1885| 19 43.7
EL_1886| 27 41.5
EL_1887| 95 73.3
EL_1888| 61 96.9
EL_1889| 20 33.3
EL_1890| 8 67.7
EL_1891| 15 2
EL_1892| 65 93.2
EL_1893| 67 19.8
EL_1894| 72 55
EL_1895| 96 27.4
EL_1896| 61 96.7
EL_1897| 99 84
EL_1898| 81 33
EL_1899| 33 84.3
EL_1900| 70 81.9
EL_1901| 22 87.5
EL_1902| 0 31.4
EL_1903| 90 4.9
EL_1904| 86 65.6
EL_1905| 60 91.1
EL_1906| 40 37.5
EL_1907| 10 42.3
EL_1908| 1 54.2
EL_1909| 34 12.7
EL_1910| 36 60.3
EL_1911| 0 76.1
EL_1912| 15 67.1
EL_1913| 93 76.7
EL_1914| 3 36.8
EL_1915| 66 66.5
EL_1916| 25 55.4
EL_1917| 15 37.7
EL_1918| 94 35.5
EL_1919| 97 58.3
EL_1920| 83 33.8
EL_1921| 66 69.5
EL_1922| 33 97.8
EL_1923| 32 48.3
EL_1924| 1 74.5
EL_1925| 14 53.5
EL_1926| 38 97.6
EL_1927| 68 94.9
EL_1928| 2 93.3
EL_1929| 88 87
EL_1930| 71 13.1
EL_1931| 70 87.8
EL_1932| 92 85.4
EL_1933| 76 96.4
EL_1934| 24 17
EL_1935| 62 99.2
EL_1936| 81 76.9
EL_1937| 87 1.3
EL_1938| 91 88.5
EL_1939| 2 51.3
EL_1940| 94 3.1
EL_1941| 17 92.9
EL_1942| 38 27.4
EL_1943| 10 71.2
EL_1944| 99 74.7
EL_1945| 5 5.9
EL_1946| 83 38.9
EL_1947| 11 85.4
EL_1948| 1 55.5
EL_1949| 39 68.7
EL_1950| 40 23.6
EL_1951| 62 98.9
EL_1952| 100 43.5
EL_1953| 30 77.8
EL_1954| 11 45.2
EL_1955| 87 34.1
EL_1956| 37 11.9
EL_1957| 29 26.8
EL_1958| 31 82.1
EL_1959| 40 12.8
EL_1960| 38 88.9
EL_1961| 63 64.9
EL_1962| 18 38.2
EL_1963| 18 36.3
EL_1964| 17 50.7
EL_1965| 76 23.1
EL_1966| 2 78.3
EL_1967| 99 82.5
EL_1968| 82 63
EL_1969| 23 45.6
EL_1970| 13 93.3
EL_1971| 32 56.1
EL_1972| 18 33
EL_1973| 31 66.2
EL_1974| 67 99.6
EL_1975| 79 36.6
EL_1976| 27 35.8
EL_1977| 85 53.3
EL_1978| 35 32.9
EL_1979| 0 17.5
EL_1980| 63 12.7
EL_1981| 81 11
EL_1982| 75 10.7
EL_1983| 38 0.7
EL_1984| 87 94.1
EL_1985| 95 89.3
EL_1986| 69 94.3
EL_1987| 91 4
EL_1988| 71 27.1
EL_1989| 19 41.7
EL_1990| 13 37.8
EL_1991| 26 94.5
EL_1992| 78 2.9
EL_1993| 3 81.2
EL_1994| 9 88.9
EL_1995| 72 27.9
EL_1996| 87 63.3
EL_1997| 14 39.3
EL_1998| 25 57.5
EL_1999| 31 11.2
EL_2000| 64 72
EL_2001| 5 44
EL_2002| 10 5.6
EL_2003| 4 34.8
EL_2004| 18 55.2
EL_2005| 12 41.3
EL_2006| 99 57.4
EL_2007| 37 67.2
EL_2008| 64 80.2
EL_2009| 25 18.9
EL_2010| 27 41.1
EL_2011| 78 60.3
EL_2012| 83 41.2
EL_2013| 22 99.8
EL_2014| 39 92.7
EL_2015| 40 56
EL_2016| 22 25.9
EL_2017| 63 82.6
EL_2018| 65 40.7
EL_2019| 80 33.8
EL_2020| 65 26
EL_2021| 94 38.7
EL_2022| 96 96.4
EL_2023| 13 72.5
EL_2024| 92 22.6
EL_2025| 29 97
EL_2026| 0 85.8
EL_2027| 69 52.5
EL_2028| 77 10.4
EL_2029| 25 44.6
EL_2030| 61 35.2
EL_2031| 39 85
EL_2032| 65 89.2
EL_2033| 22 14.3
EL_2034| 23 48.6
EL_2035| 1 4.6
EL_2036| 22 89.6
EL_2037| 30 39.8
EL_2038| 3 35.5
EL_2039| 72 33.7
EL_2040| 35 17.3
EL_2041| 76 30
EL_2042| 77 64.1
EL_2043| 2 13.6
EL_2044| 2 90.7
EL_2045| 20 39.2
EL_2046| 32 55.4
EL_2047| 10 56.5
EL_2048| 36 67.6
EL_2049| 11 17.9
EL_2050| 7 32.1
EL_2051| 67 78.8
EL_2052| 91 35.5
EL_2053| 2 42.2
EL_2054| 79 5.7
EL_2055| 82 51.9
EL_2056| 27 78.9
EL_2057| 27 68
EL_2058| 40 41.7
EL_2059| 68 16.8
EL_2060| 11 12.6
EL_2061| 93 73.6
EL_2062| 88 76.7
EL_2063| 40 46.8
EL_2064| 17 97
EL_2065| 90 14.9
EL_2066| 22 98.9
EL_2067| 22 17
EL_2068| 14 91.1
EL_2069| 62 29
EL_2070| 100 17.7
EL_2071| 19 59.6
EL_2072| 14 19.1
EL_2073| 10 82.6
EL_2074| 88 30.8
EL_2075| 25 87.9
EL_2076| 73 87.6
EL_2077| 23 68.5
EL_2078| 4 2.5
EL_2079| 87 34.9
EL_2080| 4 22.2
EL_2081| 11 14.5
EL_2082| 1 93.9
EL_2083| 97 62.6
EL_2084| 40 32.4
EL_2085| 91 9.6
EL_2086| 94 3.5
EL_2087| 18 63.8
EL_2088| 6 39.4
EL_2089| 63 62.8
EL_2090| 75 99.9
EL_2091| 26 40.3
EL_2092| 69 81.4
EL_2093| 76 13.6
EL_2094| 29 49
EL_2095| 69 49
EL_2096| 67 15.3
EL_2097| 18 14.5
EL_2098| 33 28.8
EL_2099| 16 59.7
EL_2100| 84 75.1
EL_2101| 95 31.4
EL_2102| 19 81.9
EL_2103| 20 15.7
EL_2104| 70 70.5
EL_2105| 25 24.3
EL_2106| 39 2.3
EL_2107| 4 2.5
EL_2108| 74 85.8
EL_2109| 15 30.8
EL_2110| 87 45.7
EL_2111| 22 93.9
EL_2112| 81 41.1
EL_2113| 75 47.3
EL_2114| 71 32.4
EL_2115| 91 56.1
EL_2116| 99 65.6
EL_2117| 74 77.6
EL_2118| 38 14.3
EL_2119| 0 70.3
EL_2120| 74 49.6
EL_2121| 6 28.2
EL_2122| 18 32.4
EL_2123| 28 86.3
EL_2124| 83 87.1
EL_2125| 21 48
EL_2126| 100 39.4
EL_2127| 16 7.4
EL_2128| 37 24.9
EL_2129| 18 99.8
EL_2130| 89 38.4
EL_2131| 76 79.1
EL_2132| 28 17.3
EL_2133| 30 33.7
EL_2134| 80 26.2
EL_2135| 64 57
EL_2136| 64 15.5
EL_2137| 68 64
EL_2138| 40 67.6
EL_2139| 23 21.1
EL_2140| 93 83.4
EL_2141| 39 64
EL_2142| 11 48.6
EL_2143| 11 74
EL_2144| 5 61.1
EL_2145| 72 52.7
EL_2146| 81 11.7
EL_2147| 96 8.7
EL_2148| 5 97
EL_2149| 76 29.4
EL_2150| 80 0.7
EL_2151| 75 27.3
EL_2152| 31 44.9
EL_2153| 93 88.3
EL_2154| 64 55.7
EL_2155| 85 94
EL_2156| 71 79.8
EL_2157| 94 65.1
EL_2158| 19 95.1
EL_2159| 5 86.8
EL_2160| 74 64.7
EL_2161| 99 77.1
EL_2162| 89 82.8
EL_2163| 71 90.3
EL_2164| 85 28.6
EL_2165| 37 16.4
EL_2166| 82 58.5
EL_2167| 65 88.9
EL_2168| 1 5.8
EL_2169| 37 18.9
EL_2170| 4 12.2
EL_2171| 61 14.2
EL_2172| 12 28
EL_2173| 98 78.9
EL_2174| 14 76.2
EL_2175| 81 44.9
EL_2176| 72 43.6
EL_2177| 29 17.2
EL_2178| 23 29.2
EL_2179| 98 6.4
EL_2180| 74 9.4
EL_2181| 90 97.9
EL_2182| 82 34.3
EL_2183| 10 58.5
EL_2184| 97 60.6
EL_2185| 13 73.7
EL_2186| 19 81.6
EL_2187| 73 45.7
EL_2188| 2 70.9
EL_2189| 9 62.5
EL_2190| 38 63.9
EL_2191| 83 79.6
EL_2192| 36 99.1
EL_2193| 29 71.6
EL_2194| 28 13.8
EL_2195| 93 16.7
EL_2196| 85 66.2
EL_2197| 23 79.5
EL_2198| 23 28
EL_2199| 20 1.3
EL_2200| 22 32.3
EL_2201| 94 64
EL_2202| 17 92.4
EL_2203| 93 63.2
EL_2204| 95 3.5
EL_2205| 76 82.4
EL_2206| 1 30.8
EL_2207| 15 96.2
EL_2208| 60 49.2
EL_2209| 64 5.6
EL_2210| 88 84.2
EL_2211| 5 46.1
EL_2212| 83 15.9
EL_2213| 25 84.9
EL_2214| 79 26.5
EL_2215| 87 55.2
EL_2216| 18 18.3
EL_2217| 39 75
EL_2218| 6 17.8
EL_2219| 98 42.2
EL_2220| 8 11.1
EL_2221| 36 52
EL_2222| 78 23.1
EL_2223| 24 19.9
EL_2224| 82 60.1
EL_2225| 78 19.6
EL_2226| 64 37.2
EL_2227| 95 42.6
EL_2228| 11 78.6
EL_2229| 66 96.7
EL_2230| 8 6.5
EL_2231| 30 45.7
EL_2232| 7 50.4
EL_2233| 87 11.8
EL_2234| 65 5.6
EL_2235| 77 11.3
EL_2236| 6 35.4
EL_2237| 26 75.2
EL_2238| 89 89.4
EL_2239| 8 21.5
EL_2240| 10 73.9
EL_2241| 85 93.4
EL_2242| 27 37.2
EL_2243| 14 91.8
EL_2244| 65 26.9
EL_2245| 95 3.3
EL_2246| 81 92.7
EL_2247| 97 4.5
EL_2248| 7 81.9
EL_2249| 12 26.3
EL_2250| 25 49.3
EL_2251| 20 57.4
EL_2252| 74 34.3
EL_2253| 98 39.7
EL_2254| 8 73.5
EL_2255| 2 91.8
EL_2256| 33 13.1
EL_2257| 17 13.8
EL_2258| 23 5.8
EL_2259| 82 5.2
EL_2260| 10 13.4
EL_2261| 93 72.2
